product_no,product_name,store,product_store_id,sales,promotion,date
6,SIRENA TUNA IN OIL  CHILLI 95G,c,6c,50,1,06/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,d,10d,75,1,06/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,e,10e,66,1,06/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,c,10c,14,1,06/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,b,10b,57,1,06/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,e,6e,286,1,06/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,b,6b,311,1,06/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,a,1a,29,1,06/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,e,1e,16,1,06/03/13
5,FERRERO ROCHER      16PK 200G,c,5c,0,0,06/03/13
5,FERRERO ROCHER      16PK 200G,b,5b,5,0,06/03/13
2,SAN REMO PASTA NO18 PENNE 500G,a,2a,61,1,06/03/13
3,KELLOGGS COCO POPS   650G,e,3e,88,1,06/03/13
3,KELLOGGS COCO POPS   650G,d,3d,62,1,06/03/13
3,KELLOGGS COCO POPS   650G,b,3b,48,1,06/03/13
3,KELLOGGS COCO POPS   650G,c,3c,43,1,06/03/13
3,KELLOGGS COCO POPS   650G,a,3a,95,1,06/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,a,10a,50,1,06/03/13
7,COCA COLA 2L,d,7d,298,1,06/03/13
7,COCA COLA 2L,e,7e,287,1,06/03/13
7,COCA COLA 2L,b,7b,258,1,06/03/13
7,COCA COLA 2L,c,7c,121,1,06/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,b,9b,12,0,06/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,d,9d,25,0,06/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,a,9a,7,0,06/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,e,9e,13,0,06/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,d,1d,33,1,06/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,b,1b,21,1,06/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,d,6d,392,1,06/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,a,6a,399,1,06/03/13
5,FERRERO ROCHER      16PK 200G,d,5d,10,0,06/03/13
5,FERRERO ROCHER      16PK 200G,a,5a,7,0,06/03/13
5,FERRERO ROCHER      16PK 200G,e,5e,11,0,06/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,c,9c,2,0,06/03/13
2,SAN REMO PASTA NO18 PENNE 500G,d,2d,101,1,06/03/13
2,SAN REMO PASTA NO18 PENNE 500G,e,2e,87,1,06/03/13
2,SAN REMO PASTA NO18 PENNE 500G,b,2b,83,1,06/03/13
2,SAN REMO PASTA NO18 PENNE 500G,c,2c,14,1,06/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,a,4a,17,0,06/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,e,4e,23,0,06/03/13
7,COCA COLA 2L,a,7a,380,1,06/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,b,4b,12,0,06/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,b,9b,17,0,13/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,a,9a,17,0,13/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,d,9d,27,0,13/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,d,10d,77,1,13/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,a,10a,65,1,13/03/13
3,KELLOGGS COCO POPS   650G,d,3d,18,0,13/03/13
5,FERRERO ROCHER      16PK 200G,c,5c,5,0,13/03/13
2,SAN REMO PASTA NO18 PENNE 500G,d,2d,43,0,13/03/13
2,SAN REMO PASTA NO18 PENNE 500G,a,2a,36,0,13/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,e,1e,24,1,13/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,b,1b,23,1,13/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,d,1d,26,1,13/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,a,1a,22,1,13/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,e,10e,50,1,13/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,b,10b,51,1,13/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,c,10c,20,1,13/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,a,6a,45,0,13/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,c,6c,3,0,13/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,d,6d,113,0,13/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,b,6b,27,0,13/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,c,9c,2,0,13/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,e,9e,17,0,13/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,e,6e,43,0,13/03/13
7,COCA COLA 2L,d,7d,406,1,13/03/13
7,COCA COLA 2L,a,7a,650,1,13/03/13
3,KELLOGGS COCO POPS   650G,e,3e,27,0,13/03/13
3,KELLOGGS COCO POPS   650G,b,3b,16,0,13/03/13
3,KELLOGGS COCO POPS   650G,a,3a,12,0,13/03/13
3,KELLOGGS COCO POPS   650G,c,3c,2,0,13/03/13
2,SAN REMO PASTA NO18 PENNE 500G,c,2c,7,0,13/03/13
2,SAN REMO PASTA NO18 PENNE 500G,e,2e,33,0,13/03/13
2,SAN REMO PASTA NO18 PENNE 500G,b,2b,50,0,13/03/13
5,FERRERO ROCHER      16PK 200G,a,5a,4,0,13/03/13
5,FERRERO ROCHER      16PK 200G,e,5e,6,0,13/03/13
5,FERRERO ROCHER      16PK 200G,d,5d,17,0,13/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,e,4e,66,1,13/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,b,4b,70,1,13/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,c,4c,30,1,13/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,d,4d,56,1,13/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,a,4a,57,1,13/03/13
7,COCA COLA 2L,e,7e,485,1,13/03/13
7,COCA COLA 2L,b,7b,431,1,13/03/13
7,COCA COLA 2L,c,7c,93,1,13/03/13
5,FERRERO ROCHER      16PK 200G,b,5b,7,0,13/03/13
3,KELLOGGS COCO POPS   650G,a,3a,6,0,20/03/13
3,KELLOGGS COCO POPS   650G,c,3c,0,0,20/03/13
3,KELLOGGS COCO POPS   650G,e,3e,19,0,20/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,c,9c,4,0,20/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,a,9a,20,0,20/03/13
7,COCA COLA 2L,c,7c,94,1,20/03/13
7,COCA COLA 2L,b,7b,275,1,20/03/13
7,COCA COLA 2L,e,7e,301,1,20/03/13
7,COCA COLA 2L,d,7d,241,1,20/03/13
7,COCA COLA 2L,a,7a,372,1,20/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,d,4d,74,1,20/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,e,4e,64,1,20/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,b,4b,71,1,20/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,a,4a,90,1,20/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,e,6e,51,0,20/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,c,6c,9,0,20/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,b,6b,48,0,20/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,a,1a,32,1,20/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,e,9e,15,0,20/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,d,9d,42,0,20/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,b,9b,15,0,20/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,c,4c,44,1,20/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,d,10d,25,0,20/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,c,10c,3,0,20/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,b,10b,14,0,20/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,e,10e,8,0,20/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,d,6d,50,0,20/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,a,6a,42,0,20/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,a,10a,8,0,20/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,e,1e,15,1,20/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,b,1b,30,1,20/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,d,1d,33,1,20/03/13
2,SAN REMO PASTA NO18 PENNE 500G,d,2d,43,0,20/03/13
2,SAN REMO PASTA NO18 PENNE 500G,e,2e,27,0,20/03/13
2,SAN REMO PASTA NO18 PENNE 500G,c,2c,7,0,20/03/13
2,SAN REMO PASTA NO18 PENNE 500G,b,2b,48,0,20/03/13
2,SAN REMO PASTA NO18 PENNE 500G,a,2a,34,0,20/03/13
5,FERRERO ROCHER      16PK 200G,b,5b,628,1,20/03/13
5,FERRERO ROCHER      16PK 200G,e,5e,285,1,20/03/13
5,FERRERO ROCHER      16PK 200G,d,5d,817,1,20/03/13
5,FERRERO ROCHER      16PK 200G,a,5a,291,1,20/03/13
5,FERRERO ROCHER      16PK 200G,c,5c,309,1,20/03/13
3,KELLOGGS COCO POPS   650G,d,3d,11,0,20/03/13
3,KELLOGGS COCO POPS   650G,b,3b,12,0,20/03/13
2,SAN REMO PASTA NO18 PENNE 500G,a,2a,39,0,27/03/13
2,SAN REMO PASTA NO18 PENNE 500G,c,2c,11,0,27/03/13
2,SAN REMO PASTA NO18 PENNE 500G,e,2e,33,0,27/03/13
2,SAN REMO PASTA NO18 PENNE 500G,d,2d,60,0,27/03/13
2,SAN REMO PASTA NO18 PENNE 500G,b,2b,45,0,27/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,e,6e,37,0,27/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,b,6b,22,0,27/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,d,6d,50,0,27/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,a,6a,43,0,27/03/13
5,FERRERO ROCHER      16PK 200G,d,5d,1181,1,27/03/13
5,FERRERO ROCHER      16PK 200G,e,5e,439,1,27/03/13
5,FERRERO ROCHER      16PK 200G,b,5b,570,1,27/03/13
5,FERRERO ROCHER      16PK 200G,a,5a,374,1,27/03/13
5,FERRERO ROCHER      16PK 200G,c,5c,294,1,27/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,b,4b,9,0,27/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,e,4e,17,0,27/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,e,1e,26,1,27/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,d,1d,29,1,27/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,a,10a,29,0,27/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,d,10d,24,0,27/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,e,10e,18,0,27/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,b,1b,29,1,27/03/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,a,1a,30,1,27/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,c,6c,0,0,27/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,d,4d,32,0,27/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,c,4c,13,0,27/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,c,9c,3,0,27/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,b,9b,11,0,27/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,c,10c,4,0,27/03/13
10,THINS CHIPS LIGHT&  TANGY 175G,b,10b,7,0,27/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,e,9e,8,0,27/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,a,9a,13,0,27/03/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,d,9d,41,0,27/03/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,a,4a,24,0,27/03/13
3,KELLOGGS COCO POPS   650G,e,3e,92,1,27/03/13
3,KELLOGGS COCO POPS   650G,c,3c,21,1,27/03/13
3,KELLOGGS COCO POPS   650G,d,3d,75,1,27/03/13
3,KELLOGGS COCO POPS   650G,b,3b,75,1,27/03/13
3,KELLOGGS COCO POPS   650G,a,3a,157,1,27/03/13
7,COCA COLA 2L,e,7e,328,1,27/03/13
7,COCA COLA 2L,c,7c,130,1,27/03/13
7,COCA COLA 2L,d,7d,435,1,27/03/13
7,COCA COLA 2L,b,7b,397,1,27/03/13
7,COCA COLA 2L,a,7a,549,1,27/03/13
6,SIRENA TUNA IN OIL  CHILLI 95G,e,6e,340,1,03/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,b,6b,266,1,03/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,c,6c,71,1,03/04/13
5,FERRERO ROCHER      16PK 200G,e,5e,16,0,03/04/13
5,FERRERO ROCHER      16PK 200G,c,5c,1,0,03/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,e,1e,6,1,03/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,b,1b,9,1,03/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,d,1d,11,1,03/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,a,1a,11,1,03/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,d,6d,281,1,03/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,a,6a,209,1,03/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,b,4b,8,0,03/04/13
5,FERRERO ROCHER      16PK 200G,a,5a,2,0,03/04/13
2,SAN REMO PASTA NO18 PENNE 500G,e,2e,40,0,03/04/13
2,SAN REMO PASTA NO18 PENNE 500G,c,2c,8,0,03/04/13
2,SAN REMO PASTA NO18 PENNE 500G,a,2a,28,0,03/04/13
2,SAN REMO PASTA NO18 PENNE 500G,d,2d,67,0,03/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,c,4c,12,0,03/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,e,4e,18,0,03/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,d,4d,38,0,03/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,a,4a,27,1,03/04/13
5,FERRERO ROCHER      16PK 200G,d,5d,8,0,03/04/13
2,SAN REMO PASTA NO18 PENNE 500G,b,2b,42,0,03/04/13
3,KELLOGGS COCO POPS   650G,a,3a,4,0,03/04/13
3,KELLOGGS COCO POPS   650G,e,3e,21,0,03/04/13
3,KELLOGGS COCO POPS   650G,d,3d,10,0,03/04/13
3,KELLOGGS COCO POPS   650G,c,3c,0,0,03/04/13
3,KELLOGGS COCO POPS   650G,b,3b,7,0,03/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,e,10e,74,1,03/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,c,10c,54,1,03/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,b,10b,76,1,03/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,d,10d,92,1,03/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,a,10a,91,1,03/04/13
7,COCA COLA 2L,e,7e,264,1,03/04/13
7,COCA COLA 2L,b,7b,210,1,03/04/13
7,COCA COLA 2L,c,7c,104,1,03/04/13
7,COCA COLA 2L,d,7d,278,1,03/04/13
7,COCA COLA 2L,a,7a,346,1,03/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,a,9a,22,0,03/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,d,9d,39,0,03/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,e,9e,7,0,03/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,b,9b,18,0,03/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,c,9c,1,0,03/04/13
5,FERRERO ROCHER      16PK 200G,b,5b,3,0,03/04/13
7,COCA COLA 2L,e,7e,598,1,10/04/13
7,COCA COLA 2L,b,7b,611,1,10/04/13
7,COCA COLA 2L,c,7c,171,1,10/04/13
7,COCA COLA 2L,d,7d,511,1,10/04/13
7,COCA COLA 2L,a,7a,908,1,10/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,c,6c,2,0,10/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,b,6b,23,0,10/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,e,6e,34,0,10/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,d,6d,48,0,10/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,a,6a,26,0,10/04/13
3,KELLOGGS COCO POPS   650G,e,3e,413,1,10/04/13
3,KELLOGGS COCO POPS   650G,b,3b,528,1,10/04/13
3,KELLOGGS COCO POPS   650G,c,3c,142,1,10/04/13
3,KELLOGGS COCO POPS   650G,d,3d,553,1,10/04/13
3,KELLOGGS COCO POPS   650G,a,3a,588,1,10/04/13
2,SAN REMO PASTA NO18 PENNE 500G,e,2e,54,1,10/04/13
2,SAN REMO PASTA NO18 PENNE 500G,b,2b,82,1,10/04/13
2,SAN REMO PASTA NO18 PENNE 500G,c,2c,18,1,10/04/13
2,SAN REMO PASTA NO18 PENNE 500G,d,2d,80,1,10/04/13
5,FERRERO ROCHER      16PK 200G,b,5b,69,1,10/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,a,9a,26,0,10/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,d,9d,34,0,10/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,e,9e,9,0,10/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,b,9b,20,0,10/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,c,9c,7,0,10/04/13
2,SAN REMO PASTA NO18 PENNE 500G,a,2a,82,1,10/04/13
5,FERRERO ROCHER      16PK 200G,d,5d,119,1,10/04/13
5,FERRERO ROCHER      16PK 200G,e,5e,84,1,10/04/13
5,FERRERO ROCHER      16PK 200G,a,5a,25,1,10/04/13
5,FERRERO ROCHER      16PK 200G,c,5c,58,1,10/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,e,10e,17,0,10/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,c,10c,7,0,10/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,b,10b,22,0,10/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,e,1e,5,1,10/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,b,1b,4,1,10/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,d,1d,10,1,10/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,a,1a,10,1,10/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,b,4b,8,0,10/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,c,4c,8,0,10/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,d,4d,28,0,10/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,e,4e,21,0,10/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,a,4a,34,1,10/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,d,10d,25,0,10/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,a,10a,13,0,10/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,e,4e,30,0,17/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,a,4a,41,1,17/04/13
3,KELLOGGS COCO POPS   650G,a,3a,18,0,17/04/13
3,KELLOGGS COCO POPS   650G,d,3d,14,0,17/04/13
2,SAN REMO PASTA NO18 PENNE 500G,e,2e,53,1,17/04/13
2,SAN REMO PASTA NO18 PENNE 500G,c,2c,11,1,17/04/13
2,SAN REMO PASTA NO18 PENNE 500G,b,2b,77,1,17/04/13
2,SAN REMO PASTA NO18 PENNE 500G,d,2d,92,1,17/04/13
2,SAN REMO PASTA NO18 PENNE 500G,a,2a,86,1,17/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,e,10e,135,1,17/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,c,10c,47,1,17/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,b,10b,121,1,17/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,d,10d,97,1,17/04/13
10,THINS CHIPS LIGHT&  TANGY 175G,a,10a,91,1,17/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,e,9e,11,0,17/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,a,9a,11,0,17/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,d,4d,51,0,17/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,b,4b,15,0,17/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,c,4c,13,0,17/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,e,6e,294,1,17/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,c,6c,33,1,17/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,b,6b,215,1,17/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,d,6d,289,1,17/04/13
6,SIRENA TUNA IN OIL  CHILLI 95G,a,6a,218,1,17/04/13
5,FERRERO ROCHER      16PK 200G,b,5b,8,0,17/04/13
5,FERRERO ROCHER      16PK 200G,c,5c,6,0,17/04/13
5,FERRERO ROCHER      16PK 200G,a,5a,2,0,17/04/13
7,COCA COLA 2L,e,7e,338,1,17/04/13
7,COCA COLA 2L,c,7c,95,1,17/04/13
7,COCA COLA 2L,b,7b,210,1,17/04/13
7,COCA COLA 2L,d,7d,307,1,17/04/13
7,COCA COLA 2L,a,7a,411,1,17/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,e,1e,8,1,17/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,b,1b,3,1,17/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,d,1d,6,1,17/04/13
1,YOPLAIT YOGURT      STRAWBERRY 1KG,a,1a,8,1,17/04/13
3,KELLOGGS COCO POPS   650G,b,3b,15,0,17/04/13
3,KELLOGGS COCO POPS   650G,e,3e,21,0,17/04/13
3,KELLOGGS COCO POPS   650G,c,3c,2,0,17/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,b,9b,14,0,17/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,d,9d,23,0,17/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,c,9c,3,0,17/04/13
5,FERRERO ROCHER      16PK 200G,d,5d,4,0,17/04/13
5,FERRERO ROCHER      16PK 200G,e,5e,8,0,17/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,c,4c,8,1,24/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,e,4e,43,1,24/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,d,4d,56,1,24/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,b,4b,43,1,24/04/13
4,LEGGOS PASTA SAUCE  BOLOGNESE 575G,a,4a,61,1,24/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,c,9c,44,1,24/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,d,9d,545,1,24/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,e,9e,109,1,24/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,b,9b,458,1,24/04/13
9,KLEENEX COTTONELLE  WHITE 8 PACK,a,9a,281,1,24/04/13
